library,term,pval,adj_pval,combined_score,n_genes,genes
GO_CC,Ficolin-1-Rich Granule Lumen (GO:1904813),0.0007546062089506205,0.009036828804329019,54.25,5,PKM;ALOX5;IDH1;MAPK1;MMP9
GO_CC,Endoplasmic Reticulum Membrane (GO:0005789),0.0007605090316827819,0.009036828804329019,21.97,13,CYP2C19;CYP3A4;PTGS2;CYP19A1;PTGS1;CYP2C9;CYP1A2;HSD17B2;CYP1A1;BCL2;CDK1;NOX4;CFTR
GO_CC,Cytoplasmic Side Of Plasma Membrane (GO:0009898),0.0007827174554930646,0.009036828804329019,53.51,5,SYK;SRC;ALOX15;JAK2;JAK3
GO_CC,Extrinsic Component Of Cytoplasmic Side Of Plasma Membrane (GO:0031234),0.0010493534995760032,0.011105657870512702,66.48,4,SYK;SRC;JAK2;JAK3
GO_CC,"Transferase Complex, Transferring Phosphorus-Containing Groups (GO:0061695)",0.001169096278952863,0.011392650622055628,336.34,2,TERT;IGF1R
GO_CC,Axon (GO:0030424),0.0012558827457384157,0.011392650622055628,36.04,6,APP;GSK3B;CDK5;MAPT;SNCA;IGF1R
GO_CC,Intracellular Organelle Lumen (GO:0070013),0.001389879252795755,0.011767644340337393,18.75,13,APP;IDH1;F2;PTGS2;MMP9;EGFR;BACE1;PKM;CA5A;ALOX5;CDK1;MAPK1;JAK2
GO_CC,Azurophil Granule Lumen (GO:0035578),0.001795130573920247,0.014152967765860003,52.6,4,TTR;MAPK1;MPO;ELANE
GO_CC,Lytic Vacuole (GO:0000323),0.0019249870905879277,0.014152967765860003,30.91,6,BACE1;NPC1;SRC;GBA1;MPO;SNCA
GO_CC,Nuclear Membrane (GO:0031965),0.002104685241557681,0.014152967765860003,29.91,6,CDK4;TNKS;ALOX5;LMNA;BCL2;PTGS2
GO_CC,Euchromatin (GO:0000791),0.002117373130325512,0.014152967765860003,79.12,3,CREB1;CTNNB1;ESR1
GO_CC,Vacuolar Lumen (GO:0005775),0.002485276789959142,0.015481208247581153,34.16,5,TTR;MAPK1;GBA1;MPO;ELANE
GO_CC,Golgi-associated Vesicle (GO:0005798),0.002559884828340191,0.015481208247581153,71.44,3,BACE1;APP;CFTR
GO_CC,Basolateral Plasma Membrane (GO:0016323),0.003221272954038196,0.01859553023467504,30.7,5,SLC2A1;CTNNB1;TEK;EGFR;TSHR
GO_CC,Ficolin-1-Rich Granule (GO:0101002),0.004397947834271394,0.02428432065010726,26.91,5,PKM;ALOX5;IDH1;MAPK1;MMP9
GO_CC,Caveola (GO:0005901),0.005606803211926346,0.02966933366311025,46.24,3,SRC;MAPK1;JAK2
GO_CC,Collagen-Containing Extracellular Matrix (GO:0062023),0.006095408049167953,0.0309646728897732,17.47,7,ADAMTS4;ACHE;PKM;MMP2;F2;MMP9;ELANE
GO_CC,Focal Adhesion (GO:0005925),0.007402187084777718,0.03615683691410655,16.17,7,DPP4;SRC;CTNNB1;MAPK1;JAK2;EGFR;PTK2
GO_CC,Cytoskeleton (GO:0005856),0.008163745938117138,0.03735837284101178,13.23,9,ESRRA;AXL;DAPK1;APEX1;AKT1;MAPK1;MAPT;PTK2;SNCA
GO_CC,Cell-Substrate Junction (GO:0030055),0.00823649164998685,0.03735837284101178,15.49,7,DPP4;SRC;CTNNB1;MAPK1;JAK2;EGFR;PTK2
GO_CC,Lysosome (GO:0005764),0.00902593232564551,0.03756884603812276,13.66,8,BACE1;DPP4;NPC1;SRC;GBA1;MPO;CFTR;SNCA
GO_CC,Early Endosome (GO:0005769),0.009041317112538316,0.03756884603812276,16.7,6,BACE1;APP;KDR;MAPK1;EGFR;CFTR
GO_CC,Endosome Lumen (GO:0031904),0.009170348245526028,0.03756884603812276,71.08,2,APP;JAK2
GO_CC,Actin Cytoskeleton (GO:0015629),0.012074818665177223,0.046481233041660935,14.68,6,AXL;DAPK1;APEX1;SLC2A1;TEK;SNCA
GO_CC,Plasma Membrane Raft (GO:0044853),0.012077800711612683,0.046481233041660935,29.39,3,SRC;MAPK1;JAK2
GO_CC,Azurophil Granule (GO:0042582),0.012714112585262,0.04749094995083159,20.37,4,TTR;MAPK1;MPO;ELANE
GO_CC,Organelle Outer Membrane (GO:0031968),0.0172887182652202,0.06273334913379902,17.21,4,MAOA;BCL2;PTGS2;MCL1
GO_CC,Dendrite (GO:0030425),0.020633352051935856,0.07278988084988482,12.94,5,GSK3B;CDK5;ADORA3;APEX1;MAPT
GO_CC,Endoplasmic Reticulum Lumen (GO:0005788),0.024992579605480555,0.08578534080800082,11.68,5,BACE1;APP;MAPK1;F2;PTGS2
GO_CC,"Multivesicular Body, Internal Vesicle (GO:0097487)",0.028668197377471047,0.09102152667347056,153.51,1,EGFR
GO_CC,Nuclear Envelope Lumen (GO:0005641),0.028668197377471047,0.09102152667347056,153.51,1,APP
GO_CC,External Side Of Apical Plasma Membrane (GO:0098591),0.028668197377471047,0.09102152667347056,153.51,1,ABCG2
GO_CC,Sarcolemma (GO:0042383),0.036633877155050475,0.1134756682607661,23.01,2,SLC2A1;ALOX12
GO_CC,Tertiary Granule Lumen (GO:1904724),0.03792907767683817,0.11469030630853445,22.32,2,IDH1;MMP9
GO_CC,"Phosphatidylinositol 3-Kinase Complex, Class I (GO:0097651)",0.0454764979116999,0.13126170988149743,76.31,1,PIK3R1
GO_CC,"Phosphatidylinositol 3-Kinase Complex, Class IA (GO:0005943)",0.0454764979116999,0.13126170988149743,76.31,1,PIK3R1
GO_CC,Specific Granule Lumen (GO:0035580),0.048895770805955474,0.13799473094125211,17.79,2,ELANE;NFKB1
GO_CC,Primary Lysosome (GO:0005766),0.05652151443253849,0.15372053797414859,55.17,1,MPO
GO_CC,Mitochondrial Outer Membrane (GO:0005741),0.05772557871886093,0.15372053797414859,10.1,3,MAOA;BCL2;MCL1
GO_CC,Organelle Envelope Lumen (GO:0031970),0.05930949890341166,0.15372053797414859,14.88,2,APP;ALOX5
GO_CC,Clathrin-Coated Endocytic Vesicle Membrane (GO:0030669),0.05930949890341166,0.15372053797414859,14.88,2,CFTR;EGFR
GO_CC,Intracellular Vesicle (GO:0097708),0.06199641507314463,0.1543832296919484,48.05,1,EGFR
GO_CC,Early Phagosome (GO:0032009),0.06199641507314463,0.1543832296919484,48.05,1,SYK
GO_CC,Recycling Endosome (GO:0055037),0.06529993232163904,0.15948252701631074,9.16,3,BACE1;APP;CFTR
GO_CC,beta-catenin-TCF Complex (GO:1990907),0.06743981835674595,0.1616010741755988,42.36,1,CTNNB1
GO_CC,Glial Cell Projection (GO:0097386),0.0728519038358835,0.1713368849473556,37.72,1,MAPT
GO_CC,Cytoplasmic Vesicle Membrane (GO:0030659),0.07619702606869061,0.1759458601949765,5.89,5,BACE1;CXCR1;FLT3;EGFR;CFTR
GO_CC,Lipid Droplet (GO:0005811),0.08212095627700103,0.1862385972710559,10.86,2,FABP4;ALOX15
GO_CC,Lytic Vacuole Membrane (GO:0098852),0.08598773333080442,0.18729073167935814,6.07,4,DPP4;NPC1;GBA1;CFTR
GO_CC,Intracellular Non-Membrane-Bounded Organelle (GO:0043232),0.0865663790742663,0.18729073167935814,4.05,11,L3MBTL1;FABP4;TERT;CDK4;APEX1;ALOX15;PIM1;MAPK1;SIRT6;TP53;PTK2
GO_CC,Clathrin-Coated Endocytic Vesicle (GO:0045334),0.08731248914798603,0.18729073167935814,10.21,2,CFTR;EGFR
GO_CC,Platelet Alpha Granule Membrane (GO:0031092),0.08890203396473344,0.18729073167935814,27.88,1,SNCA
KEGG,Pathways in cancer,2.962128630392625e-31,6.931380995118742e-29,1346.98,38,ALK;GSK3B;FLT3;SLC2A1;PIK3R1;PTGS2;HIF1A;EGFR;IGF1R;TERT;PIM1;AKT1;MAPK1;STAT6;JAK2;JAK3;CREBBP;MMP1;DAPK1;MMP2;PRKCA;BRAF;F2;ESR1;MMP9;ESR2;NFKB1;PTK2;IL2;AR;CDK6;PIK3CA;CDK4;BCL2;CTNNB1;PPARG;TP53;MET
KEGG,Chemical carcinogenesis,8.773553609344666e-22,1.0265057722933259e-19,1091.84,23,UGT1A1;SRC;PRKCA;AHR;PIK3R1;CYP2C19;CYP3A4;PTGS2;ESR1;EGFR;ESR2;NFKB1;CYP2C9;AR;CREB1;PIK3CA;CYP1A2;CYP1A1;BCL2;AKT1;MAPK1;PPARA;JAK2
KEGG,Prostate cancer,7.240692940023498e-21,5.6477404932183285e-19,1971.32,17,GSK3B;CREBBP;MMP3;BRAF;PIK3R1;MMP9;NFKB1;EGFR;IGF1R;AR;CREB1;PIK3CA;BCL2;AKT1;MAPK1;CTNNB1;TP53
KEGG,PI3K-Akt signaling pathway,4.115295019154461e-19,2.4074475862053596e-17,654.39,24,GSK3B;SYK;FLT3;PRKCA;PIK3R1;EGFR;NFKB1;PTK2;IL2;IGF1R;CREB1;CDK6;PIK3CA;CDK4;KDR;BCL2;AKT1;MAPK1;TEK;JAK2;TP53;MET;JAK3;MCL1
KEGG,Lipid and atherosclerosis,2.0506814452813403e-17,9.597189163916671e-16,756.05,19,GSK3B;MMP1;SRC;MMP3;PRKCA;PIK3R1;MMP9;NFKB1;PTK2;CYP2C9;PIK3CA;CYP1A1;BCL2;AKT1;NLRP3;MAPK1;PPARG;JAK2;TP53
KEGG,Kaposi sarcoma-associated herpesvirus infection,5.810514703022282e-17,2.2661007341786902e-15,773.32,18,GSK3B;CREBBP;SYK;SRC;PIK3R1;PTGS2;HIF1A;NFKB1;CREB1;CDK6;PIK3CA;CDK4;AKT1;CTNNB1;MAPK1;JAK2;TP53;CCR4
KEGG,Central carbon metabolism in cancer,1.5150589832780009e-16,4.9991255121868325e-15,1599.18,13,FLT3;IDH1;SLC2A1;SIRT6;PIK3R1;HIF1A;EGFR;PKM;PIK3CA;AKT1;MAPK1;MET;TP53
KEGG,Proteoglycans in cancer,1.7091027392091734e-16,4.9991255121868325e-15,702.39,18,SRC;MMP2;PRKCA;BRAF;PIK3R1;ESR1;HIF1A;MMP9;EGFR;PTK2;IGF1R;PIK3CA;KDR;AKT1;CTNNB1;MAPK1;TP53;MET
KEGG,Non-small cell lung cancer,2.2416853644841333e-16,5.828381947658747e-15,1528.2,13,ALK;PRKCA;BRAF;PIK3R1;EGFR;CDK6;PIK3CA;CDK4;AKT1;MAPK1;JAK3;MET;TP53
KEGG,Hepatitis B,1.3983763548929328e-15,3.2722006704494627e-14,739.84,16,CREBBP;SRC;PRKCA;BRAF;PIK3R1;MMP9;NFKB1;CREB1;PIK3CA;BCL2;AKT1;MAPK1;STAT6;JAK2;TP53;JAK3
KEGG,Bladder cancer,2.7948810623434034e-14,5.945474259894149e-13,1885.52,10,SRC;DAPK1;MMP1;CDK4;MMP2;MAPK1;BRAF;MMP9;TP53;EGFR
KEGG,Hepatocellular carcinoma,5.1310694037788456e-14,1.000558533736875e-12,586.09,15,GSK3B;PRKCA;BRAF;PIK3R1;EGFR;IGF1R;CDK6;PIK3CA;TERT;CDK4;AKT1;CTNNB1;MAPK1;TP53;MET
KEGG,HIF-1 signaling pathway,6.189107410820406e-14,1.114039333947673e-12,791.23,13,CREBBP;SLC2A1;PRKCA;PIK3R1;HIF1A;NFKB1;EGFR;IGF1R;PIK3CA;BCL2;AKT1;MAPK1;TEK
KEGG,Serotonergic synapse,9.969261413502004e-14,1.6662908362567637e-12,747.52,13,APP;MAOA;ALOX15;PRKCA;ALOX12;BRAF;CYP2C19;PTGS2;PTGS1;CYP2C9;CYP2D6;ALOX5;MAPK1
KEGG,Breast cancer,1.5252936631477798e-13,2.3794581145105366e-12,601.53,14,GSK3B;BRAF;PIK3R1;ESR1;EGFR;ESR2;IGF1R;CDK6;PIK3CA;CDK4;AKT1;CTNNB1;MAPK1;TP53
KEGG,Thyroid hormone signaling pathway,2.451991849247271e-13,3.4090427164241894e-12,671.07,13,GSK3B;CREBBP;SRC;SLC2A1;PRKCA;PIK3R1;ESR1;HIF1A;PIK3CA;AKT1;CTNNB1;MAPK1;TP53
KEGG,Human cytomegalovirus infection,2.4766549649235563e-13,3.4090427164241894e-12,437.21,16,GSK3B;SRC;PRKCA;PIK3R1;PTGS2;EGFR;NFKB1;PTK2;CREB1;CDK6;PIK3CA;CDK4;AKT1;CTNNB1;MAPK1;TP53
KEGG,Melanoma,3.457199252867561e-13,4.494359028727829e-12,976.83,11,CDK6;PIK3CA;CDK4;AKT1;MAPK1;BRAF;PIK3R1;MET;TP53;EGFR;IGF1R
KEGG,Chemokine signaling pathway,3.683523186265425e-13,4.5365496083479446e-12,473.41,15,ITK;GSK3B;SRC;BRAF;PIK3R1;NFKB1;PTK2;PIK3CA;CXCR1;GRK6;AKT1;MAPK1;JAK2;CCR4;JAK3
KEGG,Glioma,5.522558074075595e-13,6.021274426616411e-12,915.71,11,CDK6;PIK3CA;CDK4;AKT1;MAPK1;PRKCA;BRAF;PIK3R1;TP53;EGFR;IGF1R
KEGG,AGE-RAGE signaling pathway in diabetic complications,5.545444057539347e-13,6.021274426616411e-12,732.5,12,PIK3CA;CDK4;MMP2;PIM1;BCL2;AKT1;NOX4;MAPK1;PRKCA;PIK3R1;JAK2;NFKB1
KEGG,Relaxin signaling pathway,5.66102723869919e-13,6.021274426616411e-12,606.54,13,MMP1;SRC;MMP2;PRKCA;PIK3R1;MMP9;EGFR;NFKB1;CREB1;MMP13;PIK3CA;AKT1;MAPK1
KEGG,Focal adhesion,7.198250565467871e-13,7.323437531823834e-12,439.76,15,GSK3B;SRC;PRKCA;BRAF;PIK3R1;EGFR;PTK2;IGF1R;PIK3CA;KDR;BCL2;AKT1;CTNNB1;MAPK1;MET
KEGG,Viral carcinogenesis,8.316303231242075e-13,8.108395650461024e-12,432.79,15,CREBBP;SYK;SRC;PIK3R1;NFKB1;CREB1;CDK6;PKM;PIK3CA;CDK4;CDK1;MAPK1;TP53;CCR4;JAK3
KEGG,Gastric cancer,3.651109012656682e-12,3.417438035846654e-11,482.66,13,GSK3B;ABCB1;BRAF;PIK3R1;EGFR;PIK3CA;TERT;BCL2;AKT1;CTNNB1;MAPK1;TP53;MET
KEGG,Hepatitis C,7.1326212003038134e-12,6.419359080273432e-11,444.07,13,GSK3B;BRAF;PIK3R1;EGFR;NFKB1;CDK6;PIK3CA;CDK4;AKT1;CTNNB1;MAPK1;PPARA;TP53
KEGG,Human papillomavirus infection,8.084158496984094e-12,7.006270697386215e-11,273.35,17,GSK3B;CREBBP;PIK3R1;PTGS2;EGFR;NFKB1;PTK2;CREB1;CDK6;PKM;PIK3CA;TERT;CDK4;AKT1;CTNNB1;MAPK1;TP53
KEGG,Prolactin signaling pathway,8.597661136095908e-12,7.185188235165866e-11,794.19,10,GSK3B;PIK3CA;SRC;AKT1;MAPK1;PIK3R1;JAK2;ESR1;ESR2;NFKB1
KEGG,JAK-STAT signaling pathway,1.063737663826807e-11,8.583262528809407e-11,422.38,13,CREBBP;PIK3R1;EGFR;IL2;PIK3CA;THPO;PIM1;BCL2;AKT1;STAT6;JAK2;JAK3;MCL1
KEGG,Pancreatic cancer,2.0096239691110252e-11,1.5675066959065997e-10,697.72,10,CDK6;PIK3CA;CDK4;AKT1;MAPK1;BRAF;PIK3R1;TP53;EGFR;NFKB1
KEGG,Estrogen signaling pathway,2.455216325845629e-11,1.853292323380249e-10,445.58,12,CREB1;PIK3CA;SRC;MMP2;BCL2;AKT1;MAPK1;PIK3R1;ESR1;MMP9;EGFR;ESR2
KEGG,Fluid shear stress and atherosclerosis,2.9148800738575813e-11,2.1315060540083564e-10,435.44,12,PIK3CA;SRC;MMP2;KDR;BCL2;AKT1;CTNNB1;PIK3R1;TP53;MMP9;NFKB1;PTK2
KEGG,MicroRNAs in cancer,3.2460787406817215e-11,2.3017649252106753e-10,257.48,16,CREBBP;ABCB1;PRKCA;PIK3R1;PTGS2;MMP9;EGFR;NFKB1;CDK6;PIK3CA;PIM1;BCL2;MAPK1;TP53;MET;MCL1
KEGG,Human T-cell leukemia virus 1 infection,3.55192108852717e-11,2.44455745504517e-10,317.02,14,CREBBP;MMP7;SLC2A1;PIK3R1;NFKB1;IL2;CREB1;PIK3CA;TERT;CDK4;AKT1;MAPK1;TP53;JAK3
KEGG,Endometrial cancer,4.548529150090606e-11,3.0410166317748623e-10,810.81,9,GSK3B;PIK3CA;AKT1;MAPK1;CTNNB1;BRAF;PIK3R1;TP53;EGFR
KEGG,VEGF signaling pathway,5.341434349394614e-11,3.471932327106499e-10,789.19,9,PIK3CA;SRC;KDR;AKT1;MAPK1;PRKCA;PIK3R1;PTGS2;PTK2
KEGG,ErbB signaling pathway,6.307727042353913e-11,3.9892111565157183e-10,585.22,10,GSK3B;PIK3CA;SRC;AKT1;MAPK1;PRKCA;BRAF;PIK3R1;EGFR;PTK2
KEGG,Colorectal cancer,7.103291059153001e-11,4.374131862741585e-10,574.57,10,GSK3B;PIK3CA;BCL2;AKT1;MAPK1;CTNNB1;BRAF;PIK3R1;TP53;EGFR
KEGG,Small cell lung cancer,1.4051821394525324e-10,8.431092836715194e-10,516.82,10,CDK6;PIK3CA;CDK4;BCL2;AKT1;PIK3R1;PTGS2;TP53;NFKB1;PTK2
KEGG,Acute myeloid leukemia,1.7487388041529746e-10,1.02301220042949e-09,645.97,9,PIK3CA;FLT3;PIM1;AKT1;MAPK1;BRAF;PIK3R1;MPO;NFKB1
KEGG,Renal cell carcinoma,2.2955623442871734e-10,1.3101502160078014e-09,616.81,9,CREBBP;PIK3CA;SLC2A1;AKT1;MAPK1;BRAF;PIK3R1;MET;HIF1A
KEGG,Rap1 signaling pathway,2.765440561862453e-10,1.5407454558947954e-09,277.6,13,SRC;PRKCA;BRAF;PIK3R1;EGFR;IGF1R;PIK3CA;KDR;AKT1;CTNNB1;MAPK1;TEK;MET
KEGG,Alzheimer disease,4.2426557544385365e-10,2.308794061717715e-09,191.04,16,APP;GSK3B;BRAF;PIK3R1;PTGS2;NFKB1;BACE1;PSMB5;CDK5;PIK3CA;AKT1;NOX4;CTNNB1;MAPK1;MAPT;SNCA
KEGG,C-type lectin receptor signaling pathway,4.799909534617648e-10,2.552679161592113e-09,426.17,10,SYK;PIK3CA;SRC;AKT1;NLRP3;MAPK1;PIK3R1;PTGS2;IL2;NFKB1
KEGG,Measles,5.170541283155124e-10,2.688681467240665e-09,345.75,11,GSK3B;CDK6;PIK3CA;CDK4;BCL2;AKT1;PIK3R1;TP53;JAK3;NFKB1;IL2
KEGG,Chronic myeloid leukemia,5.57912108753499e-10,2.8380746401808427e-09,530.08,9,CDK6;PIK3CA;CDK4;AKT1;MAPK1;BRAF;PIK3R1;TP53;NFKB1
KEGG,"Growth hormone synthesis, secretion and action",1.8197883584083257e-09,9.060222890798899e-09,344.44,10,GSK3B;CREBBP;CREB1;PIK3CA;AKT1;MAPK1;PRKCA;PIK3R1;JAK2;PTK2
KEGG,PD-L1 expression and PD-1 checkpoint pathway in cancer,2.337838800760858e-09,1.1396964153709182e-08,413.82,9,ALK;PIK3CA;AKT1;MAPK1;PIK3R1;JAK2;HIF1A;EGFR;NFKB1
KEGG,IL-17 signaling pathway,3.8189569623230535e-09,1.823746794252234e-08,379.76,9,GSK3B;MMP13;MMP1;MMP3;MAPK1;PTGS2;ELAVL1;MMP9;NFKB1
KEGG,Influenza A,4.971388865344964e-09,2.326609988981443e-08,245.37,11,CREBBP;CDK6;PIK3CA;CDK4;AKT1;NLRP3;MAPK1;PRKCA;PIK3R1;JAK2;NFKB1
KEGG,Fc epsilon RI signaling pathway,5.548639370730638e-09,2.5458462995117044e-08,465.25,8,SYK;PIK3CA;ALOX5;BTK;AKT1;MAPK1;PRKCA;PIK3R1
KEGG,Yersinia infection,7.189383330698856e-09,3.2352224988144854e-08,275.19,10,GSK3B;PIK3CA;SRC;AKT1;NLRP3;MAPK1;PIK3R1;NFKB1;PTK2;IL2
KEGG,T cell receptor signaling pathway,9.399703046168554e-09,4.150057571327249e-08,323.83,9,GSK3B;ITK;PIK3CA;CDK4;AKT1;MAPK1;PIK3R1;IL2;NFKB1
KEGG,Coronavirus disease,1.0613711884890328e-08,4.515651965571522e-08,189.36,12,PIK3CA;SYK;MMP1;MMP3;NLRP3;MAPK1;PRKCA;PIK3R1;F2;EGFR;NFKB1;IL2
KEGG,Ras signaling pathway,1.0613711884890328e-08,4.515651965571522e-08,189.36,12,PIK3CA;FLT3;KDR;AKT1;MAPK1;PRKCA;TEK;PIK3R1;MET;EGFR;NFKB1;IGF1R
KEGG,Drug metabolism,1.3125961517755585e-08,5.4847767770621554e-08,305.07,9,CYP2C9;UGT1A1;CYP2D6;MAOA;CYP1A2;CYP2C19;CYP3A4;MPO;XDH
KEGG,Transcriptional misregulation in cancer,1.5668950968304395e-08,6.43251671330391e-08,204.95,11,FLT3;MMP3;PPARG;TP53;MPO;MMP9;MET;ELANE;NFKB1;PTK2;IGF1R
KEGG,MAPK signaling pathway,1.634399563707652e-08,6.593956860475699e-08,157.87,13,FLT3;PRKCA;BRAF;EGFR;NFKB1;IGF1R;KDR;AKT1;MAPK1;TEK;MAPT;TP53;MET
KEGG,TNF signaling pathway,1.808636106255282e-08,7.173234726504e-08,287.99,9,CREB1;PIK3CA;MMP3;AKT1;MAPK1;PIK3R1;PTGS2;MMP9;NFKB1
KEGG,Cholinergic synapse,1.9556943719844974e-08,7.62720805073954e-08,283.95,9,ACHE;CREB1;PIK3CA;BCL2;AKT1;MAPK1;PRKCA;PIK3R1;JAK2
Reactome,Extra-nuclear Estrogen Signaling R-HSA-9009391,2.2451423224869626e-21,2.0161378055932926e-18,2646.13,16,MMP7;SRC;MMP2;MMP3;PIK3R1;MMP9;ESR1;EGFR;ESR2;PTK2;IGF1R;CREB1;PIK3CA;BCL2;AKT1;MAPK1
Reactome,Interleukin-4 And Interleukin-13 Signaling R-HSA-6785807,4.2433917009590073e-20,1.9052828737305942e-17,1684.62,17,MAOA;MMP1;MMP2;ALOX15;MMP3;PIK3R1;PTGS2;HIF1A;MMP9;ALOX5;BCL2;AKT1;STAT6;JAK2;TP53;JAK3;MCL1
Reactome,Disease R-HSA-1643685,7.232399634429645e-19,1.6271897263059594e-16,284.83,45,ALK;APP;GSK3B;KDM1A;MAOA;TNKS;SRC;FLT3;SLC2A1;PIK3R1;CYP19A1;EGFR;ADAMTS4;TTR;PSMB5;LMNA;KDR;AKT1;NLRP3;MAPK1;SMN1;JAK2;JAK3;CREBBP;SYK;UGT1A1;IDH1;PRKCA;BRAF;ESR1;ESR2;NFKB1;PTK2;TSHR;SLC2A9;CREB1;CDK6;CDK5;PIK3CA;CDK4;BTK;NOX4;CTNNB1;TP53;CFTR
Reactome,Signaling By Interleukins R-HSA-449147,7.248061141674653e-19,1.6271897263059594e-16,549.83,26,APP;MAOA;ALOX15;PIK3R1;PTGS2;HIF1A;PSMB5;ALOX5;AKT1;MAPK1;STAT6;JAK2;JAK3;MCL1;SYK;MMP1;MMP2;MMP3;PRKCA;MMP9;NFKB1;IL2;CREB1;PIK3CA;BCL2;TP53
Reactome,Signal Transduction R-HSA-162582,1.94727534221732e-17,3.4973065146223063e-15,218.48,51,ALK;APP;GSK3B;KDM1A;FLT3;IGF1R;ADORA3;KDR;AKT1;JAK2;JAK3;MMP7;SYK;MMP2;MMP3;PRKCA;SIRT6;MMP9;CREB1;PIK3CA;BTK;PPARG;TP53;CFTR;TNKS;SRC;PIK3R1;HIF1A;EGFR;PSMB5;TERT;CXCR1;GRK6;NLRP3;MAPK1;STAT6;CREBBP;BRAF;ESR1;ESR2;NFKB1;PTK2;IL2;TSHR;CDK5;AXL;CDK4;BCL2;CDK1;CTNNB1;TEK
Reactome,ESR-mediated Signaling R-HSA-8939211,3.6260207230477816e-17,5.426944348828179e-15,806.32,18,CREBBP;MMP7;KDM1A;SRC;MMP2;MMP3;PIK3R1;ESR1;MMP9;EGFR;ESR2;PTK2;IGF1R;CREB1;PIK3CA;BCL2;AKT1;MAPK1
Reactome,Cytokine Signaling In Immune System R-HSA-1280215,3.2058581501809737e-15,4.1126580269464487e-13,288.12,27,APP;MAOA;FLT3;ALOX15;PIK3R1;PTGS2;HIF1A;PSMB5;ALOX5;AKT1;MAPK1;STAT6;JAK2;JAK3;MCL1;SYK;MMP1;MMP2;MMP3;PRKCA;MMP9;NFKB1;IL2;CREB1;PIK3CA;BCL2;TP53
Reactome,Signaling By Receptor Tyrosine Kinases R-HSA-9006934,9.557017394245064e-15,1.0098825489826397e-12,327.63,23,ALK;SRC;FLT3;PRKCA;BRAF;PIK3R1;ESR1;HIF1A;MMP9;EGFR;PTK2;IGF1R;CREB1;CDK5;PIK3CA;AXL;KDR;AKT1;CTNNB1;MAPK1;STAT6;JAK2;JAK3
Reactome,Immune System R-HSA-168256,1.0567443486889814e-14,1.0098825489826397e-12,172.78,42,APP;ITK;MAOA;SRC;FLT3;ALOX15;PIK3R1;PTGS2;MPO;HIF1A;TTR;PSMB5;CXCR1;ALOX5;AKT1;NLRP3;MAPK1;STAT6;JAK2;XDH;JAK3;ELANE;MCL1;CREBBP;SYK;MMP1;IDH1;MMP2;MMP3;PRKCA;MMP9;NFKB1;PTK2;IL2;MMP12;CREB1;PKM;PIK3CA;BTK;BCL2;CTNNB1;TP53
Reactome,Signaling By Nuclear Receptors R-HSA-9006931,1.1245908117846767e-14,1.0098825489826397e-12,478.82,18,CREBBP;MMP7;KDM1A;SRC;MMP2;MMP3;PIK3R1;ESR1;MMP9;EGFR;ESR2;PTK2;IGF1R;CREB1;PIK3CA;BCL2;AKT1;MAPK1
Reactome,Biosynthesis Of DHA-derived SPMs R-HSA-9018677,2.3314966908932928e-14,1.9033491167474338e-12,5134.73,8,CYP2C9;ALOX5;ALOX15;CYP1A2;CYP1A1;ALOX12;CYP3A4;PTGS2
Reactome,Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202,4.411539834664044e-14,3.301302309606926e-12,328.61,21,ALK;GSK3B;CREBBP;TNKS;SRC;FLT3;BRAF;PIK3R1;ESR1;EGFR;ESR2;CREB1;PSMB5;PIK3CA;LMNA;KDR;AKT1;NOX4;CTNNB1;MAPK1;JAK2
Reactome,Biosynthesis Of Specialized Proresolving Mediators (SPMs) R-HSA-9018678,7.179632191837207e-14,4.959469006361394e-12,4050.2,8,CYP2C9;ALOX5;ALOX15;CYP1A2;CYP1A1;ALOX12;CYP3A4;PTGS2
Reactome,Intracellular Signaling By Second Messengers R-HSA-9006925,2.3126832461061915e-12,1.4834211107166857e-10,311.94,17,GSK3B;KDM1A;TNKS;SRC;FLT3;PRKCA;PIK3R1;ESR1;EGFR;ESR2;CREB1;PSMB5;PIK3CA;AKT1;MAPK1;PPARG;TP53
Reactome,PIP3 Activates AKT Signaling R-HSA-1257604,3.623922160657915e-12,2.1695214001805384e-10,328.37,16,GSK3B;KDM1A;TNKS;SRC;FLT3;PIK3R1;ESR1;EGFR;ESR2;CREB1;PSMB5;PIK3CA;AKT1;MAPK1;PPARG;TP53
Reactome,Innate Immune System R-HSA-168249,5.128268148541421e-12,2.8782404983688727e-10,155.06,28,APP;ITK;SRC;PIK3R1;MPO;TTR;PSMB5;CXCR1;ALOX5;NLRP3;MAPK1;STAT6;ELANE;CREBBP;SYK;IDH1;PRKCA;MMP9;NFKB1;PTK2;MMP12;CREB1;PKM;PIK3CA;BTK;BCL2;CTNNB1;TP53
Reactome,MAPK Family Signaling Cascades R-HSA-5683057,4.745011911860411e-11,2.506482762853323e-09,246.62,16,SRC;FLT3;MMP2;PRKCA;BRAF;PIK3R1;EGFR;PTK2;IL2;PSMB5;PIK3CA;CDK1;MAPK1;TEK;JAK2;JAK3
Reactome,Arachidonic Acid Metabolism R-HSA-2142753,5.341434349394614e-11,2.664782247642424e-09,789.19,9,CYP2C9;ALOX5;ALOX15;CYP1A2;CYP1A1;ALOX12;CYP2C19;PTGS2;PTGS1
